District,MRiceArea,MRiceYield
COLOMBO,"3,830",2521
GAMPAHA,"11,511",2842
KALUTARA,"11,939","2,563"
KANDY,"12,211",3235
MATALE,"19,992",3339
NUWARAELIYA,"5,044","3,922"
GALLE,"11,235",2514
MATARA,"13,685",2764
HAMBANTOTA,"36,104",3969
JAFFNA,"11,127",2176
MANNAR,"20,466",2662
VAVUNIYA,"18,859",2373
MULATIVU,"19,990",2305
KILLINOCHCHI,"27,403",2485
BATTICALOA,"66,520",1639
AMPARA,"82,442",2857
TRINCOMALEE,"39,650",2662
KURUNEGALA,"81,454",3229
PUTTALAM,"20,930",2415
ANURADHAPURA,"116,969",2873
POLONNARUWA,"66,536",3103
BADULLA,"24,195",3027
MONARAGALA,"34,361",2987
RATNAPURA,"13,092",3365
KEGALLE,"6,301",3499
