District,RiskLabel
Ampara,0.05128205128205128
Anuradhapura,0.5897435897435898
Badulla,0.46794871794871795
Batticaloa,0.07051282051282051
Colombo,0.4935897435897436
Galle,0.8461538461538461
Gampaha,0.5448717948717948
Hambantota,0.7051282051282052
Jaffna,0.019230769230769232
Kalutara,0.9615384615384616
Kandy,0.3717948717948718
Kegalle,0.9102564102564102
Kilinochchi,0.16025641025641027
Kurunegala,0.5256410256410257
Mannar,0.1794871794871795
Matale,0.6217948717948718
Matara,0.8653846153846154
Monaragala,0.5961538461538461
Mullaitivu,0.358974358974359
Nuwara Eliya,0.21153846153846154
Polonnaruwa,0.6666666666666666
Puttalam,0.1794871794871795
Ratnapura,0.9294871794871795
Trincomalee,0.2948717948717949
Vavuniya,0.3782051282051282
